低俗小说, 8.7, https://maoyan.com/films/1239,  剧情 ,         美国          ,  154分钟        , 1994-09-23美国上映
海边的曼彻斯特, 8.8, https://maoyan.com/films/338365,  剧情 ,         美国          ,  136分钟        , 2017-08-25中国大陆上映
超脱, 8.7, https://maoyan.com/films/65496,  剧情 ,         美国          ,  97分钟        , 2011-04-25美国上映
爱在黎明破晓前, 8.7, https://maoyan.com/films/4587,  剧情 ,         美国,奥地利,瑞士          ,  101分钟        , 1995-01-27美国上映
海蒂和爷爷, 9.5, https://maoyan.com/films/337625,  剧情 ,         瑞士,德国          ,  111分钟        , 2019-05-16中国大陆上映
七宗罪, 8.7, https://maoyan.com/films/1321,  剧情 ,         美国          ,  127分钟        , 1995-09-22美国上映
菊次郎的夏天, 8.8, https://maoyan.com/films/2212,  剧情 ,         日本          ,  120分钟        , 2020-09-25 08:00中国大陆上映
釜山行, 8.9, https://maoyan.com/films/343203,  动作 ,         韩国          ,  118分钟        , 2016-07-20韩国上映
春光乍泄, 9.2, https://maoyan.com/films/1597,  剧情 ,         中国香港,日本,韩国          ,  96分钟        , 1997-05-30中国香港上映
无间道, 9.1, https://maoyan.com/films/224973,  剧情 ,         中国香港          ,  101分钟        , 2003-09-05中国大陆上映
剪刀手爱德华, 8.8, https://maoyan.com/films/513,  剧情 ,         美国          ,  105分钟        , 1990-12-06美国上映
爱在日落黄昏时, 8.7, https://maoyan.com/films/1287,  剧情 ,         美国          ,  80分钟        , 2015-04-20中国大陆上映
心灵捕手, 8.4, https://maoyan.com/films/1575,  剧情 ,         美国          ,  126分钟        , 1997-12-05美国上映
辩护人, 8.8, https://maoyan.com/films/246433,  剧情 ,         韩国          ,  127分钟        , 2013-12-18韩国上映
穿条纹睡衣的男孩, 9.0, https://maoyan.com/films/38099,  剧情 ,         英国,美国          ,  94分钟        , 2008-08-28英国上映
重庆森林, 8.6, https://maoyan.com/films/1290,  剧情 ,         中国香港          ,  102分钟        , 1994-07-14中国香港上映
素媛, 9.1, https://maoyan.com/films/78538,  剧情 ,         韩国          ,  122分钟        , 2013-10-02韩国上映
天空之城, 9.0, https://maoyan.com/films/1228,  动画 ,         日本          ,  125分钟        , 1992-05-01中国大陆上映
波西米亚狂想曲, 9.4, https://maoyan.com/films/1167831,  剧情 ,         英国          ,  134分钟        , 2019-03-22中国大陆上映
